mandelbrot_nohandlers.links.out,monadicstate.links.out,purestate.links.out,queens12_minimal.links.out,queens12_minimal_nohandler.links.out,queens16_minimal.links.out,queens16_minimal_nohandler.links.out,queens20_minimal.links.out,queens20_minimal_nohandler.links.out,queens8_minimal.links.out,queens8_minimal_nohandler.links.out,sieve.links.out,state.links.out
54,437,95,3,2,66,86,1849,1723,1,1,5,2314
45,390,93,3,2,76,68,1881,1695,1,1,5,2360
39,390,93,3,2,62,59,1846,1686,1,1,5,2318
36,389,132,3,2,64,59,1847,1686,1,1,5,2352
36,390,96,2,2,60,57,1849,1697,1,1,5,2316
36,391,93,2,2,60,59,1857,1688,1,1,5,2360
37,392,93,2,2,89,59,1847,1686,1,1,5,2311
36,434,93,2,2,93,58,1846,1687,1,1,5,2311
53,392,93,2,2,70,58,1846,1688,1,1,5,2327
43,401,93,2,2,62,58,1847,1811,1,1,4,2313
39,443,93,2,2,60,58,1847,1695,1,1,4,2308
36,392,93,2,2,60,58,1852,1687,1,1,4,2309
36,422,93,2,2,60,58,1847,1687,1,1,5,2317
36,393,93,2,2,61,80,1847,1725,1,1,4,2313
36,394,94,2,2,61,62,1851,1721,1,1,5,2315
35,392,93,2,2,64,58,1848,1696,1,1,4,2310
36,391,93,2,2,60,58,1852,1687,1,1,4,2344
36,399,93,2,2,60,58,1848,1689,1,1,4,2313
36,392,102,2,2,60,58,1847,1727,1,1,4,2319
36,393,93,2,2,61,59,1846,1793,1,1,4,2311
35,391,103,2,2,60,59,1847,1692,1,1,4,2312
36,400,127,2,1,61,58,1851,1686,1,1,5,2354
36,393,94,2,2,61,58,1850,1686,1,1,4,2310
36,402,93,2,2,61,58,1847,1687,1,1,4,2318
36,393,93,2,2,61,58,1846,1686,1,1,4,2357
36,392,92,2,1,61,92,1846,1688,1,1,4,2272
36,444,93,2,1,60,89,1888,1727,1,1,4,2320
37,430,94,2,1,65,63,1847,1686,1,1,4,2325
36,390,93,2,2,80,87,1846,1686,1,1,4,2287
36,391,93,2,2,65,67,1847,1685,1,1,4,2358
36,402,93,2,2,60,59,1851,1687,1,1,4,2347
36,409,93,2,1,60,58,1877,1693,1,1,4,2367
36,392,93,2,2,60,58,1847,1691,1,1,4,2315
36,389,93,2,2,60,59,1848,1718,1,1,4,2313
36,390,93,2,2,60,58,1849,1687,1,1,4,2314
43,390,93,2,2,61,58,1910,1686,1,1,4,2325
52,386,93,2,2,91,58,1848,1697,1,1,5,2304
43,390,92,2,2,93,58,1847,1688,1,1,4,2315
39,390,93,2,2,69,59,1877,1687,1,1,4,2309
36,390,93,2,1,92,58,1883,1688,1,1,4,2311
36,397,93,2,2,69,58,1847,1816,1,1,4,2319
36,390,93,2,2,60,58,1854,1686,1,1,4,2310
36,390,92,2,3,61,57,1847,1686,1,1,4,2321
36,390,93,2,2,60,58,1867,1685,1,1,4,2308
36,390,93,2,2,94,58,1848,1833,1,1,4,2391
37,386,93,2,2,92,58,1847,1697,1,1,4,2318
35,390,92,2,2,69,59,1848,1704,1,1,4,2318
36,406,93,2,2,61,59,1847,1695,1,1,4,2332
36,389,93,2,2,60,83,1849,1686,1,1,4,2344
36,390,93,2,2,63,87,1847,1696,1,1,5,2308
