mandelbrot_nohandlers.links,monadicstate.links,purestate.links,queens12_minimal.links,queens12_minimal_nohandler.links,queens16_minimal.links,queens16_minimal_nohandler.links,queens20_minimal.links
16119,195702,15374,286,279,15737,15700,535223
16183,195614,15448,284,279,15734,15513,537214
16309,195456,15369,286,278,15742,15576,539757
16094,195943,15516,285,278,15747,15564,536003
16098,197174,15416,283,279,15759,15524,535669
16207,195466,15417,283,278,15878,15617,535965
16105,195751,15372,284,277,15816,15567,541121
16098,195337,15361,283,280,15740,15705,536328
16116,195633,15379,323,278,15837,15552,535410
16136,195860,15352,300,278,15821,15708,535476
16125,195590,15362,284,278,15746,15526,535528
16199,197468,15475,286,277,15819,15709,536100
16100,195609,15357,284,277,15757,15527,536674
16113,195750,15470,284,278,15818,15599,535719
16106,195350,15393,285,277,15818,15535,535770
16105,195785,15403,284,278,15739,15548,535853
16107,196467,15359,284,277,15762,15522,536999
16106,196395,15400,286,277,15936,15546,536791
16113,196262,15451,287,281,15750,15533,537876
16128,197439,15689,331,279,15770,15538,535582
