monadicstate.links,purestate.links,state.links
192767,14898,84960
193219,15089,84618
192652,15112,84706
192916,15102,84803
192372,15103,85000
192475,14783,84580
192289,15020,84739
192780,15100,85115
192593,15093,84361
192520,15075,84808
192588,14814,84824
192363,14999,84504
193422,15109,84635
192250,15104,86800
192579,15120,84425
192587,14789,84919
192454,14991,84546
194031,15096,84903
192506,15121,84962
193354,15084,84074
192358,14783,84583
192580,14980,84728
192834,15108,84957
193545,15097,84602
192906,15101,84531
